statecode,code,title,Level,employment,Employment RSE,"Employment per 1,000 jobs",Location quotient,Median hourly wage,Mean hourly wage,Annual mean wage,Mean wage RSE
HI,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,7440,3.30%,13.57,1.05,$24.00 ,$29.72 ,"$61,820 ",4.00%
HI,29-0000,Healthcare Practitioners and Technical Occupations,major,31300,1.70%,57.08,0.92,$47.12 ,$54.51 ,"$113,370 ",2.30%
HI,31-0000,Healthcare Support Occupations,major,21030,2.80%,38.352,0.82,$17.76 ,$18.21 ,"$37,870 ",1.00%
HI,33-0000,Protective Service Occupations,major,19480,1.00%,35.52,1.48,$22.71 ,$26.47 ,"$55,070 ",0.50%
HI,35-0000,Food Preparation and Serving Related Occupations,major,57620,2.00%,105.063,1.32,$14.49 ,$17.41 ,"$36,200 ",2.80%
HI,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,27050,2.10%,49.327,1.69,$18.12 ,$18.72 ,"$38,940 ",0.90%
HI,39-0000,Personal Care and Service Occupations,major,11430,3.80%,20.837,1.14,$14.69 ,$17.60 ,"$36,600 ",1.40%
HI,41-0000,Sales and Related Occupations,major,50070,2.10%,91.306,0.97,$17.08 ,$20.60 ,"$42,840 ",1.20%
HI,43-0000,Office and Administrative Support Occupations,major,72080,1.00%,131.436,1.01,$22.04 ,$22.07 ,"$45,910 ",0.50%
HI,45-0000,"Farming, Fishing, and Forestry Occupations",major,1690,7.10%,3.076,0.96,$18.29 ,$21.55 ,"$44,820 ",2.30%
HI,47-0000,Construction and Extraction Occupations,major,30140,1.80%,54.967,1.32,$35.76 ,$35.27 ,"$73,370 ",1.10%
HI,49-0000,"Installation, Maintenance, and Repair Occupations",major,23230,2.60%,42.36,1.07,$29.09 ,$30.54 ,"$63,520 ",0.80%
HI,51-0000,Production Occupations,major,11870,2.90%,21.65,0.36,$22.11 ,$24.12 ,"$50,170 ",1.20%
HI,53-0000,Transportation and Material Moving Occupations,major,41250,1.80%,75.215,0.84,$18.30 ,$23.94 ,"$49,790 ",1.20%
ID,11-0000,Management Occupations,major,48420,1.50%,63.976,1.01,$36.07 ,$40.83 ,"$84,920 ",0.80%
ID,13-0000,Business and Financial Operations Occupations,major,34940,1.70%,46.157,0.72,$29.56 ,$32.77 ,"$68,160 ",1.10%
ID,15-0000,Computer and Mathematical Occupations,major,18000,4.10%,23.783,0.72,$35.66 ,$37.68 ,"$78,380 ",2.80%
ID,17-0000,Architecture and Engineering Occupations,major,12970,2.50%,17.138,0.99,$37.26 ,$40.27 ,"$83,760 ",1.30%
ID,19-0000,"Life, Physical, and Social Science Occupations",major,10080,2.80%,13.317,1.47,$26.55 ,$29.67 ,"$61,720 ",1.40%
ID,21-0000,Community and Social Service Occupations,major,11760,4.10%,15.542,0.98,$22.62 ,$23.89 ,"$49,690 ",1.50%
ID,23-0000,Legal Occupations,major,5150,3.40%,6.8,0.81,$30.06 ,$36.63 ,"$76,180 ",2.70%
ID,25-0000,Educational Instruction and Library Occupations,major,40360,2.50%,53.32,0.92,$22.58 ,$22.81 ,"$47,440 ",1.50%
ID,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,7930,3.50%,10.477,0.81,$18.33 ,$22.06 ,"$45,880 ",2.70%
ID,29-0000,Healthcare Practitioners and Technical Occupations,major,44920,1.40%,59.351,0.95,$30.71 ,$40.47 ,"$84,190 ",2.50%
ID,31-0000,Healthcare Support Occupations,major,34760,2.20%,45.919,0.98,$13.88 ,$14.78 ,"$30,740 ",2.00%
ID,33-0000,Protective Service Occupations,major,13960,2.60%,18.44,0.77,$22.61 ,$23.67 ,"$49,220 ",1.50%
ID,35-0000,Food Preparation and Serving Related Occupations,major,65360,2.00%,86.353,1.09,$10.92 ,$11.95 ,"$24,860 ",1.20%
ID,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,25950,1.90%,34.288,1.18,$14.07 ,$14.73 ,"$30,630 ",0.90%
ID,39-0000,Personal Care and Service Occupations,major,11870,3.60%,15.682,0.86,$12.52 ,$14.86 ,"$30,900 ",4.30%
ID,41-0000,Sales and Related Occupations,major,68020,1.60%,89.866,0.96,$14.20 ,$19.39 ,"$40,340 ",1.10%
ID,43-0000,Office and Administrative Support Occupations,major,104860,1.20%,138.538,1.07,$17.61 ,$18.33 ,"$38,130 ",0.40%
ID,45-0000,"Farming, Fishing, and Forestry Occupations",major,5450,5.70%,7.194,2.24,$14.30 ,$17.13 ,"$35,620 ",1.80%
ID,47-0000,Construction and Extraction Occupations,major,44290,1.50%,58.513,1.41,$21.31 ,$21.77 ,"$45,280 ",0.60%
ID,49-0000,"Installation, Maintenance, and Repair Occupations",major,35510,1.90%,46.916,1.19,$22.43 ,$23.05 ,"$47,930 ",0.60%
ID,51-0000,Production Occupations,major,53160,1.70%,70.237,1.18,$17.66 ,$19.10 ,"$39,740 ",0.70%
ID,53-0000,Transportation and Material Moving Occupations,major,59180,1.70%,78.193,0.87,$17.48 ,$18.99 ,"$39,510 ",0.70%
IL,11-0000,Management Occupations,major,442130,1.10%,78.687,1.24,$49.69 ,$59.16 ,"$123,060 ",0.60%
IL,13-0000,Business and Financial Operations Occupations,major,368050,1.20%,65.502,1.02,$36.99 ,$40.51 ,"$84,250 ",0.90%
IL,15-0000,Computer and Mathematical Occupations,major,175110,2.90%,31.165,0.94,$44.84 ,$44.99 ,"$93,580 ",1.10%
IL,17-0000,Architecture and Engineering Occupations,major,74150,2.00%,13.196,0.76,$38.27 ,$42.49 ,"$88,370 ",0.80%
IL,19-0000,"Life, Physical, and Social Science Occupations",major,40910,3.50%,7.281,0.81,$34.53 ,$39.28 ,"$81,700 ",2.70%
IL,21-0000,Community and Social Service Occupations,major,86430,2.00%,15.382,0.97,$23.16 ,$25.17 ,"$52,350 ",1.20%
IL,23-0000,Legal Occupations,major,49810,3.80%,8.865,1.06,$40.09 ,$55.97 ,"$116,430 ",3.60%
IL,25-0000,Educational Instruction and Library Occupations,major,341780,0.70%,60.827,1.05,$24.30 ,$28.87 ,"$60,050 ",0.50%
IL,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,67800,2.70%,12.067,0.94,$23.57 ,$28.52 ,"$59,320 ",1.50%
IL,29-0000,Healthcare Practitioners and Technical Occupations,major,347820,1.00%,61.903,0.99,$35.97 ,$41.90 ,"$87,150 ",1.20%
IL,31-0000,Healthcare Support Occupations,major,221930,1.50%,39.498,0.84,$14.37 ,$16.28 ,"$33,860 ",0.60%
IL,33-0000,Protective Service Occupations,major,137700,1.90%,24.507,1.02,$24.71 ,$29.17 ,"$60,680 ",1.10%
IL,35-0000,Food Preparation and Serving Related Occupations,major,395940,1.40%,70.466,0.89,$12.90 ,$13.79 ,"$28,670 ",0.80%
IL,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,166190,1.10%,29.577,1.01,$14.59 ,$16.49 ,"$34,310 ",0.70%
IL,39-0000,Personal Care and Service Occupations,major,92670,2.70%,16.492,0.91,$14.17 ,$17.34 ,"$36,060 ",1.90%
IL,41-0000,Sales and Related Occupations,major,498200,1.10%,88.667,0.94,$14.47 ,$22.08 ,"$45,920 ",0.90%
IL,43-0000,Office and Administrative Support Occupations,major,749700,0.90%,133.426,1.03,$18.37 ,$21.33 ,"$44,370 ",0.30%
IL,45-0000,"Farming, Fishing, and Forestry Occupations",major,6310,9.60%,1.123,0.35,$16.97 ,$18.30 ,"$38,070 ",2.40%
IL,47-0000,Construction and Extraction Occupations,major,173610,1.70%,30.898,0.74,$35.58 ,$34.18 ,"$71,090 ",0.90%
IL,49-0000,"Installation, Maintenance, and Repair Occupations",major,205150,1.30%,36.51,0.92,$23.38 ,$26.71 ,"$55,570 ",0.70%
IL,51-0000,Production Occupations,major,383640,0.80%,68.277,1.14,$18.18 ,$20.82 ,"$43,310 ",0.40%
IL,53-0000,Transportation and Material Moving Occupations,major,593810,0.90%,105.682,1.18,$17.83 ,$20.44 ,"$42,520 ",0.40%
IN,51-0000,Production Occupations,major,355540,0.40%,119.172,2,$18.26 ,$21.06 ,"$43,800 ",0.40%
IN,43-0000,Office and Administrative Support Occupations,major,354090,0.60%,118.685,0.91,$17.96 ,$19.41 ,"$40,370 ",0.20%
IN,53-0000,Transportation and Material Moving Occupations,major,333990,0.80%,111.95,1.25,$17.78 ,$18.98 ,"$39,470 ",0.40%
IN,41-0000,Sales and Related Occupations,major,269950,0.70%,90.483,0.96,$14.22 ,$20.43 ,"$42,500 ",1.00%
IN,35-0000,Food Preparation and Serving Related Occupations,major,252520,0.70%,84.641,1.06,$11.35 ,$12.41 ,"$25,810 ",0.70%
IN,29-0000,Healthcare Practitioners and Technical Occupations,major,191460,0.60%,64.175,1.03,$29.58 ,$40.82 ,"$84,910 ",1.00%
IN,25-0000,Educational Instruction and Library Occupations,major,151550,0.70%,50.797,0.87,$22.97 ,$25.88 ,"$53,820 ",0.50%
IN,11-0000,Management Occupations,major,151080,0.70%,50.64,0.8,$45.41 ,$50.17 ,"$104,360 ",0.50%
IN,13-0000,Business and Financial Operations Occupations,major,136830,1.10%,45.862,0.71,$29.92 ,$34.06 ,"$70,850 ",0.70%
IN,49-0000,"Installation, Maintenance, and Repair Occupations",major,135150,1.10%,45.301,1.14,$22.86 ,$24.64 ,"$51,240 ",0.40%
IN,47-0000,Construction and Extraction Occupations,major,125390,1.00%,42.028,1.01,$23.39 ,$26.43 ,"$54,970 ",0.60%
IN,31-0000,Healthcare Support Occupations,major,111080,1.10%,37.232,0.79,$14.24 ,$15.38 ,"$31,990 ",0.40%
IN,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,81330,1.00%,27.26,0.93,$14.07 ,$14.96 ,"$31,120 ",0.60%
IN,15-0000,Computer and Mathematical Occupations,major,62830,2.20%,21.06,0.64,$36.98 ,$37.86 ,"$78,760 ",0.90%
IN,33-0000,Protective Service Occupations,major,57840,1.70%,19.386,0.81,$21.78 ,$22.70 ,"$47,220 ",0.80%
IN,17-0000,Architecture and Engineering Occupations,major,48360,1.30%,16.211,0.94,$37.01 ,$38.44 ,"$79,960 ",0.70%
IN,39-0000,Personal Care and Service Occupations,major,47820,2.10%,16.028,0.88,$12.03 ,$14.28 ,"$29,710 ",1.20%
IN,21-0000,Community and Social Service Occupations,major,44820,1.30%,15.022,0.94,$22.06 ,$22.90 ,"$47,630 ",0.50%
IN,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,30710,1.60%,10.294,0.8,$18.91 ,$24.21 ,"$50,360 ",1.90%
IN,19-0000,"Life, Physical, and Social Science Occupations",major,20350,2.10%,6.822,0.75,$29.42 ,$31.90 ,"$66,340 ",1.10%
IN,23-0000,Legal Occupations,major,16970,2.20%,5.688,0.68,$30.30 ,$43.15 ,"$89,760 ",3.00%
IN,45-0000,"Farming, Fishing, and Forestry Occupations",major,3760,7.00%,1.262,0.39,$15.27 ,$17.04 ,"$35,440 ",1.90%
IA,11-0000,Management Occupations,major,93820,0.70%,63.177,1,$43.70 ,$48.42 ,"$100,720 ",0.70%
IA,13-0000,Business and Financial Operations Occupations,major,79990,1.10%,53.866,0.84,$30.27 ,$34.44 ,"$71,640 ",0.50%
IA,15-0000,Computer and Mathematical Occupations,major,36980,2.20%,24.904,0.75,$38.39 ,$42.18 ,"$87,740 ",1.70%
IA,17-0000,Architecture and Engineering Occupations,major,24500,1.60%,16.5,0.95,$37.26 ,$38.38 ,"$79,820 ",0.50%
IA,19-0000,"Life, Physical, and Social Science Occupations",major,12440,2.50%,8.374,0.93,$29.57 ,$31.55 ,"$65,630 ",1.40%
IA,21-0000,Community and Social Service Occupations,major,20740,2.40%,13.969,0.88,$22.42 ,$23.51 ,"$48,890 ",1.10%
IA,23-0000,Legal Occupations,major,7750,2.80%,5.219,0.62,$29.69 ,$40.98 ,"$85,230 ",2.90%
IA,25-0000,Educational Instruction and Library Occupations,major,100940,0.80%,67.971,1.17,$22.88 ,$25.17 ,"$52,350 ",0.80%
IA,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,16990,2.10%,11.444,0.89,$18.79 ,$23.70 ,"$49,300 ",1.30%
IA,29-0000,Healthcare Practitioners and Technical Occupations,major,85880,0.80%,57.835,0.93,$29.36 ,$38.34 ,"$79,760 ",1.20%
IA,31-0000,Healthcare Support Occupations,major,61470,1.10%,41.394,0.88,$14.40 ,$15.92 ,"$33,120 ",0.40%
IA,33-0000,Protective Service Occupations,major,21700,2.50%,14.614,0.61,$23.68 ,$25.00 ,"$51,990 ",1.40%
IA,35-0000,Food Preparation and Serving Related Occupations,major,114860,1.00%,77.352,0.97,$11.53 ,$12.83 ,"$26,690 ",0.80%
IA,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,43910,1.10%,29.568,1.01,$14.41 ,$15.43 ,"$32,100 ",0.50%
IA,39-0000,Personal Care and Service Occupations,major,28210,2.00%,18.994,1.04,$11.63 ,$14.05 ,"$29,230 ",1.00%
IA,41-0000,Sales and Related Occupations,major,140960,0.80%,94.922,1.01,$14.11 ,$19.26 ,"$40,060 ",0.70%
IA,43-0000,Office and Administrative Support Occupations,major,179860,0.70%,121.117,0.93,$18.20 ,$19.98 ,"$41,560 ",0.20%
IA,45-0000,"Farming, Fishing, and Forestry Occupations",major,5050,5.10%,3.4,1.06,$17.89 ,$18.65 ,"$38,800 ",1.50%
IA,47-0000,Construction and Extraction Occupations,major,68320,1.10%,46.007,1.11,$23.06 ,$24.90 ,"$51,780 ",0.70%
IA,49-0000,"Installation, Maintenance, and Repair Occupations",major,63970,1.00%,43.078,1.09,$22.89 ,$24.51 ,"$50,990 ",0.50%
IA,51-0000,Production Occupations,major,133400,0.70%,89.836,1.51,$18.15 ,$20.18 ,"$41,980 ",0.40%
IA,53-0000,Transportation and Material Moving Occupations,major,143240,1.30%,96.46,1.08,$18.21 ,$19.88 ,"$41,360 ",0.90%
KS,11-0000,Management Occupations,major,67810,1.10%,50.633,0.8,$45.48 ,$50.29 ,"$104,590 ",0.80%
KS,13-0000,Business and Financial Operations Occupations,major,78140,1.50%,58.35,0.91,$30.01 ,$34.22 ,"$71,170 ",0.80%
KS,15-0000,Computer and Mathematical Occupations,major,35100,2.60%,26.212,0.79,$37.38 ,$39.33 ,"$81,800 ",1.20%
KS,17-0000,Architecture and Engineering Occupations,major,23760,2.20%,17.745,1.03,$37.17 ,$38.57 ,"$80,230 ",1.80%
KS,19-0000,"Life, Physical, and Social Science Occupations",major,11740,3.50%,8.763,0.97,$29.09 ,$32.15 ,"$66,880 ",2.60%
KS,21-0000,Community and Social Service Occupations,major,19990,2.20%,14.928,0.94,$21.71 ,$22.38 ,"$46,550 ",0.70%
KS,23-0000,Legal Occupations,major,7020,4.00%,5.241,0.63,$30.27 ,$37.79 ,"$78,590 ",3.80%
KS,25-0000,Educational Instruction and Library Occupations,major,86930,0.70%,64.913,1.12,$22.76 ,$23.66 ,"$49,220 ",0.50%
KS,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,15190,2.20%,11.343,0.88,$18.80 ,$22.90 ,"$47,640 ",2.10%
KS,29-0000,Healthcare Practitioners and Technical Occupations,major,86380,1.00%,64.501,1.03,$29.24 ,$37.75 ,"$78,520 ",1.80%
KS,31-0000,Healthcare Support Occupations,major,59700,1.90%,44.579,0.95,$13.75 ,$14.03 ,"$29,180 ",0.50%
KS,33-0000,Protective Service Occupations,major,27530,2.50%,20.557,0.86,$19.56 ,$22.11 ,"$45,990 ",1.00%
KS,35-0000,Food Preparation and Serving Related Occupations,major,107270,1.30%,80.099,1.01,$10.97 ,$12.02 ,"$25,000 ",1.00%
KS,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,39110,1.40%,29.206,1,$14.00 ,$14.76 ,"$30,700 ",0.60%
KS,39-0000,Personal Care and Service Occupations,major,26050,2.80%,19.449,1.07,$11.56 ,$13.91 ,"$28,930 ",1.40%
KS,41-0000,Sales and Related Occupations,major,119830,1.20%,89.481,0.95,$14.12 ,$20.33 ,"$42,290 ",1.10%
KS,43-0000,Office and Administrative Support Occupations,major,177360,0.90%,132.44,1.02,$17.74 ,$18.76 ,"$39,010 ",0.40%
KS,45-0000,"Farming, Fishing, and Forestry Occupations",major,3800,9.40%,2.836,0.88,$16.69 ,$17.17 ,"$35,720 ",3.00%
KS,47-0000,Construction and Extraction Occupations,major,57500,1.60%,42.938,1.03,$22.33 ,$23.70 ,"$49,290 ",1.00%
KS,49-0000,"Installation, Maintenance, and Repair Occupations",major,58220,1.40%,43.476,1.1,$22.71 ,$24.52 ,"$51,000 ",0.60%
KS,51-0000,Production Occupations,major,104000,1.00%,77.663,1.3,$18.14 ,$20.49 ,"$42,610 ",0.40%
KS,53-0000,Transportation and Material Moving Occupations,major,126750,1.30%,94.647,1.05,$17.59 ,$19.14 ,"$39,800 ",0.70%
KY,45-0000,"Farming, Fishing, and Forestry Occupations",major,3650,7.90%,1.986,0.62,$14.12 ,$15.38 ,"$31,980 ",2.40%
KY,23-0000,Legal Occupations,major,10650,4.60%,5.791,0.69,$30.15 ,$39.13 ,"$81,390 ",2.90%
KY,19-0000,"Life, Physical, and Social Science Occupations",major,12910,2.90%,7.021,0.78,$28.57 ,$30.33 ,"$63,090 ",1.20%
KY,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,16570,2.80%,9.015,0.7,$20.73 ,$23.49 ,"$48,860 ",1.90%
KY,17-0000,Architecture and Engineering Occupations,major,28220,2.90%,15.348,0.89,$35.13 ,$35.89 ,"$74,650 ",0.90%
KY,21-0000,Community and Social Service Occupations,major,30670,3.00%,16.685,1.05,$20.35 ,$22.24 ,"$46,260 ",1.10%
KY,15-0000,Computer and Mathematical Occupations,major,33070,5.60%,17.987,0.54,$32.60 ,$35.98 ,"$74,830 ",1.60%
KY,39-0000,Personal Care and Service Occupations,major,36210,2.10%,19.698,1.08,$11.70 ,$13.40 ,"$27,880 ",0.80%
KY,33-0000,Protective Service Occupations,major,38700,2.60%,21.052,0.88,$16.05 ,$18.48 ,"$38,440 ",1.00%
KY,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,47910,1.30%,26.061,0.89,$13.63 ,$13.95 ,"$29,010 ",0.80%
KY,47-0000,Construction and Extraction Occupations,major,66500,1.30%,36.175,0.87,$22.36 ,$23.32 ,"$48,510 ",0.60%
KY,31-0000,Healthcare Support Occupations,major,69980,1.50%,38.067,0.81,$14.20 ,$15.42 ,"$32,080 ",0.60%
KY,13-0000,Business and Financial Operations Occupations,major,79310,1.40%,43.14,0.67,$29.89 ,$33.95 ,"$70,620 ",0.80%
KY,49-0000,"Installation, Maintenance, and Repair Occupations",major,82150,1.20%,44.684,1.13,$22.69 ,$24.28 ,"$50,510 ",0.50%
KY,25-0000,Educational Instruction and Library Occupations,major,92660,0.70%,50.405,0.87,$23.45 ,$24.87 ,"$51,740 ",0.50%
KY,11-0000,Management Occupations,major,101520,1.40%,55.223,0.87,$38.30 ,$46.69 ,"$97,120 ",0.90%
KY,29-0000,Healthcare Practitioners and Technical Occupations,major,130900,1.40%,71.202,1.14,$29.18 ,$37.61 ,"$78,230 ",1.60%
KY,35-0000,Food Preparation and Serving Related Occupations,major,154060,0.90%,83.802,1.05,$10.82 ,$11.86 ,"$24,680 ",0.90%
KY,41-0000,Sales and Related Occupations,major,169400,1.00%,92.144,0.98,$13.75 ,$18.70 ,"$38,890 ",1.00%
KY,51-0000,Production Occupations,major,181820,1.00%,98.901,1.66,$18.04 ,$19.89 ,"$41,360 ",0.40%
KY,53-0000,Transportation and Material Moving Occupations,major,213190,1.40%,115.966,1.29,$17.34 ,$19.68 ,"$40,940 ",0.60%
KY,43-0000,Office and Administrative Support Occupations,major,238350,0.80%,129.648,1,$17.67 ,$18.77 ,"$39,030 ",0.40%
LA,11-0000,Management Occupations,major,101760,1.00%,56.737,0.9,$44.29 ,$49.86 ,"$103,710 ",0.60%
LA,13-0000,Business and Financial Operations Occupations,major,76300,1.90%,42.538,0.66,$29.35 ,$32.65 ,"$67,900 ",0.80%
LA,15-0000,Computer and Mathematical Occupations,major,19880,2.80%,11.086,0.34,$30.84 ,$34.92 ,"$72,620 ",1.20%
LA,17-0000,Architecture and Engineering Occupations,major,28990,2.00%,16.163,0.93,$37.60 ,$41.96 ,"$87,290 ",1.10%
LA,19-0000,"Life, Physical, and Social Science Occupations",major,11440,3.00%,6.381,0.71,$29.87 ,$33.71 ,"$70,110 ",1.50%
LA,21-0000,Community and Social Service Occupations,major,27210,1.70%,15.169,0.95,$22.52 ,$22.48 ,"$46,760 ",0.90%
LA,23-0000,Legal Occupations,major,15220,6.00%,8.487,1.01,$29.50 ,$38.47 ,"$80,020 ",3.50%
LA,25-0000,Educational Instruction and Library Occupations,major,116620,0.40%,65.021,1.12,$23.18 ,$23.29 ,"$48,440 ",0.40%
LA,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,18430,3.70%,10.274,0.8,$18.24 ,$22.23 ,"$46,240 ",2.30%
LA,29-0000,Healthcare Practitioners and Technical Occupations,major,133150,0.90%,74.235,1.19,$29.11 ,$35.73 ,"$74,320 ",1.20%
LA,31-0000,Healthcare Support Occupations,major,85240,1.50%,47.525,1.01,$11.24 ,$12.50 ,"$26,010 ",0.60%
LA,33-0000,Protective Service Occupations,major,54810,1.70%,30.557,1.27,$18.09 ,$19.67 ,"$40,920 ",0.80%
LA,35-0000,Food Preparation and Serving Related Occupations,major,156870,1.10%,87.463,1.1,$9.52 ,$11.01 ,"$22,900 ",0.90%
LA,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,55120,1.20%,30.734,1.05,$11.28 ,$12.62 ,"$26,250 ",0.80%
LA,39-0000,Personal Care and Service Occupations,major,34160,2.20%,19.046,1.05,$10.76 ,$12.62 ,"$26,250 ",1.00%
LA,41-0000,Sales and Related Occupations,major,182450,1.20%,101.724,1.08,$12.18 ,$16.95 ,"$35,250 ",0.90%
LA,43-0000,Office and Administrative Support Occupations,major,228840,0.70%,127.586,0.98,$17.19 ,$17.95 ,"$37,330 ",0.40%
LA,45-0000,"Farming, Fishing, and Forestry Occupations",major,3380,5.50%,1.882,0.59,$17.70 ,$18.64 ,"$38,760 ",2.10%
LA,47-0000,Construction and Extraction Occupations,major,101420,1.70%,56.547,1.36,$22.28 ,$23.02 ,"$47,870 ",0.70%
LA,49-0000,"Installation, Maintenance, and Repair Occupations",major,86990,1.60%,48.502,1.23,$22.54 ,$24.24 ,"$50,420 ",0.70%
LA,51-0000,Production Occupations,major,92040,1.40%,51.314,0.86,$21.68 ,$23.66 ,"$49,210 ",0.60%
LA,53-0000,Transportation and Material Moving Occupations,major,163270,1.00%,91.03,1.01,$16.81 ,$20.47 ,"$42,580 ",0.90%
ME,11-0000,Management Occupations,major,35830,2.00%,60.526,0.96,$45.52 ,$49.21 ,"$102,360 ",1.00%
ME,13-0000,Business and Financial Operations Occupations,major,30090,1.40%,50.83,0.79,$30.76 ,$36.17 ,"$75,230 ",1.20%
ME,15-0000,Computer and Mathematical Occupations,major,12150,2.40%,20.518,0.62,$37.38 ,$39.32 ,"$81,790 ",1.30%
ME,17-0000,Architecture and Engineering Occupations,major,9950,2.20%,16.812,0.97,$38.00 ,$40.14 ,"$83,500 ",0.80%
ME,19-0000,"Life, Physical, and Social Science Occupations",major,4970,3.10%,8.388,0.93,$30.07 ,$33.97 ,"$70,650 ",1.10%
ME,21-0000,Community and Social Service Occupations,major,11090,2.30%,18.735,1.18,$23.14 ,$25.08 ,"$52,170 ",1.50%
ME,23-0000,Legal Occupations,major,3580,4.00%,6.055,0.72,$30.80 ,$38.94 ,"$81,000 ",2.70%
ME,25-0000,Educational Instruction and Library Occupations,major,37340,1.90%,63.076,1.08,$23.16 ,$25.60 ,"$53,240 ",0.90%
ME,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,7400,3.30%,12.503,0.97,$22.28 ,$25.02 ,"$52,030 ",2.20%
ME,29-0000,Healthcare Practitioners and Technical Occupations,major,41370,1.00%,69.885,1.12,$35.90 ,$43.19 ,"$89,840 ",1.50%
ME,31-0000,Healthcare Support Occupations,major,33490,1.60%,56.569,1.21,$14.97 ,$16.67 ,"$34,670 ",0.50%
ME,33-0000,Protective Service Occupations,major,11020,2.90%,18.608,0.77,$22.40 ,$23.58 ,"$49,050 ",1.50%
ME,35-0000,Food Preparation and Serving Related Occupations,major,46630,1.20%,78.773,0.99,$14.38 ,$16.49 ,"$34,300 ",0.90%
ME,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,20460,2.20%,34.565,1.19,$14.79 ,$17.17 ,"$35,710 ",0.80%
ME,39-0000,Personal Care and Service Occupations,major,11680,3.00%,19.724,1.08,$14.31 ,$16.20 ,"$33,690 ",0.80%
ME,41-0000,Sales and Related Occupations,major,53690,1.20%,90.692,0.96,$14.51 ,$21.43 ,"$44,580 ",3.10%
ME,43-0000,Office and Administrative Support Occupations,major,78970,0.90%,133.398,1.03,$18.13 ,$19.93 ,"$41,460 ",0.30%
ME,45-0000,"Farming, Fishing, and Forestry Occupations",major,1830,6.60%,3.098,0.96,$18.24 ,$19.40 ,"$40,360 ",1.90%
ME,47-0000,Construction and Extraction Occupations,major,29150,1.70%,49.236,1.19,$22.64 ,$23.59 ,"$49,060 ",0.70%
ME,49-0000,"Installation, Maintenance, and Repair Occupations",major,25450,1.70%,42.99,1.09,$22.86 ,$24.57 ,"$51,100 ",0.60%
ME,51-0000,Production Occupations,major,36980,1.60%,62.465,1.05,$18.42 ,$21.18 ,"$44,050 ",0.50%
ME,53-0000,Transportation and Material Moving Occupations,major,48870,1.90%,82.552,0.92,$17.67 ,$18.90 ,"$39,300 ",0.50%
MD,11-0000,Management Occupations,major,179270,1.00%,70.413,1.11,$58.05 ,$61.88 ,"$128,720 ",0.50%
MD,13-0000,Business and Financial Operations Occupations,major,193890,1.20%,76.155,1.19,$38.54 ,$42.86 ,"$89,150 ",0.80%
MD,15-0000,Computer and Mathematical Occupations,major,138370,1.60%,54.346,1.64,$49.38 ,$53.26 ,"$110,790 ",1.10%
MD,17-0000,Architecture and Engineering Occupations,major,55590,2.30%,21.834,1.26,$47.73 ,$49.93 ,"$103,850 ",0.80%
MD,19-0000,"Life, Physical, and Social Science Occupations",major,43260,1.80%,16.992,1.88,$41.92 ,$45.71 ,"$95,090 ",0.70%
MD,21-0000,Community and Social Service Occupations,major,46980,2.00%,18.454,1.16,$23.86 ,$27.31 ,"$56,790 ",0.80%
MD,23-0000,Legal Occupations,major,21630,3.50%,8.497,1.02,$45.60 ,$52.75 ,"$109,720 ",3.10%
MD,25-0000,Educational Instruction and Library Occupations,major,159330,0.90%,62.582,1.08,$29.73 ,$34.52 ,"$71,810 ",0.80%
MD,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,29340,2.20%,11.524,0.89,$28.78 ,$31.93 ,"$66,420 ",1.50%
MD,29-0000,Healthcare Practitioners and Technical Occupations,major,165380,1.30%,64.955,1.04,$37.71 ,$48.71 ,"$101,330 ",2.00%
MD,31-0000,Healthcare Support Occupations,major,90350,1.90%,35.487,0.76,$15.37 ,$17.13 ,"$35,620 ",0.70%
MD,33-0000,Protective Service Occupations,major,70280,1.30%,27.603,1.15,$23.85 ,$27.76 ,"$57,730 ",0.80%
MD,35-0000,Food Preparation and Serving Related Occupations,major,185980,1.50%,73.048,0.92,$13.73 ,$15.21 ,"$31,640 ",0.90%
MD,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,78030,1.70%,30.648,1.05,$14.81 ,$17.11 ,"$35,590 ",0.90%
MD,39-0000,Personal Care and Service Occupations,major,55620,2.90%,21.845,1.2,$14.24 ,$16.90 ,"$35,150 ",1.30%
